log start @ 2021-08-07 12:31:19
cpu core 8
kline_start_time 1509465600 kline_total_len 1896480 test_start 1893600 test_end 1896480
thread 2 fast 1 slow 7 time 172ms
thread 2 better profit 1.1199 fast 1 slow 7 open 0.000 close 0.012
thread 0 fast 1 slow 9 time 172ms
thread 0 better profit 1.1839 fast 1 slow 9 open 0.000 close 0.008
thread 3 fast 1 slow 5 time 187ms
thread 1 fast 1 slow 3 time 187ms
thread 0 fast 1 slow 13 time 171ms
thread 2 fast 1 slow 11 time 187ms
thread 2 better profit 1.1963 fast 1 slow 11 open 0.000 close 0.008
thread 1 fast 1 slow 17 time 188ms
thread 3 fast 1 slow 15 time 219ms
thread 0 fast 1 slow 19 time 266ms
thread 2 fast 1 slow 21 time 328ms
thread 1 fast 1 slow 23 time 343msthread 1 fast 1 slow 23 time 343ms

thread 0 fast 1 slow 27 time 297ms
thread 2 fast 1 slow 29 time 219ms
thread 1 fast 1 slow 33 time 219ms
thread 3 fast 1 slow 31 time 281ms
thread 0 fast 1 slow 35 time 235ms
thread 2 fast 1 slow 37 time 266ms
thread 1 fast 1 slow 39 time 266ms
thread 3 fast 1 slow 41 time 297ms
thread 2 fast 1 slow 45 time 219ms
thread 0 fast 1 slow 43 time 265ms
thread 1 fast 1 slow 47 time 312ms
thread 3 fast 1 slow 49 time 313ms
thread 2 fast 1 slow 51 time 234ms
thread 0 fast 1 slow 53 time 313ms
thread 1 fast 1 slow 55 time 219ms
thread 2 fast 1 slow 59 time 203ms
thread 3 fast 1 slow 57 time 234ms
thread 0 fast 3 slow 4 time 203ms
thread 1 fast 3 slow 6 time 203ms
thread 2 fast 3 slow 8 time 188ms
thread 3 fast 3 slow 10 time 188ms
thread 0 fast 3 slow 12 time 172ms
thread 1 fast 3 slow 14 time 172ms
thread 2 fast 3 slow 16 time 171ms
thread 3 fast 3 slow 18 time 156ms
thread 0 fast 3 slow 20 time 187ms
thread 1 fast 3 slow 22 time 187ms
thread 3 fast 3 slow 26 time 219ms
thread 3 fast 3 slow 26 time 219ms
thread 0 fast 3 slow 28 time 235ms
thread 1 fast 3 slow 30 time 219ms
thread 3 fast 3 slow 34 time 203ms
thread 2 fast 3 slow 32 time 203ms
thread 0 fast 3 slow 36 time 218ms
thread 1 fast 3 slow 38 time 203ms
thread 3 fast 3 slow 40 time 234ms
thread 2 fast 3 slow 42 time 234ms
thread 1 fast 3 slow 46 time 235ms
thread 0 fast 3 slow 44 time 235ms
thread 3 fast 3 slow 48 time 203ms
thread 2 fast 3 slow 50 time 219ms
thread 1 fast 3 slow 52 time 172ms
thread 0 fast 3 slow 54 time 172ms
thread 3 fast 3 slow 56 time 141ms
thread 2 fast 3 slow 58 time 156ms
thread 0 fast 5 slow 9 time 141ms
thread 1 fast 5 slow 7 time 156ms
thread 3 fast 5 slow 11 time 156ms
thread 2 fast 5 slow 13 time 141ms
thread 0 fast 5 slow 15 time 140ms
thread 1 fast 5 slow 17 time 156ms
thread 3 fast 5 slow 19 time 125ms
thread 2 fast 5 slow 21 time 141ms
thread 1 fast 5 slow 25 time 125ms
thread 0 fast 5 slow 23 time 157ms
thread 3 fast 5 slow 27 time 125ms
thread 2 fast 5 slow 29 time 140ms
thread 1 fast 5 slow 31 time 125ms
thread 0 fast 5 slow 33 time 140ms
thread 3 fast 5 slow 35 time 125ms
thread 2 fast 5 slow 37 time 156ms
thread 1 fast 5 slow 39 time 140ms
thread 3 fast 5 slow 43 time 141msthread 3 fast 5 slow 43 time 141ms

thread 2 fast 5 slow 45 time 141ms
thread 1 fast 5 slow 47 time 141ms
thread 3 fast 5 slow 49 time 141ms
thread 0 fast 5 slow 51 time 156ms
thread 2 fast 5 slow 53 time 125ms
thread 1 fast 5 slow 55 time 141ms
thread 3 fast 5 slow 57 time 140ms
thread 0 fast 5 slow 59 time 156ms
thread 2 fast 7 slow 10 time 156ms
thread 3 fast 7 slow 14 time 141ms
thread 1 fast 7 slow 12 time 156ms
thread 0 fast 7 slow 16 time 125ms
thread 2 fast 7 slow 18 time 172ms
thread 3 fast 7 slow 20 time 125ms
thread 0 fast 7 slow 24 time 125ms
thread 1 fast 7 slow 22 time 156ms
thread 2 fast 7 slow 26 time 125ms
thread 3 fast 7 slow 28 time 125ms
thread 0 fast 7 slow 30 time 157ms
thread 1 fast 7 slow 32 time 156ms
thread 2 fast 7 slow 34 time 156ms
thread 3 fast 7 slow 36 time 140ms
thread 0 fast 7 slow 38 time 140ms
thread 1 fast 7 slow 40 time 157ms
thread 3 fast 7 slow 44 time 141ms
thread 2 fast 7 slow 42 time 141ms
thread 0 fast 7 slow 46 time 188ms
thread 1 fast 7 slow 48 time 156ms
thread 3 fast 7 slow 50 time 125ms
thread 2 fast 7 slow 52 time 156ms
thread 0 fast 7 slow 54 time 156ms
thread 0 fast 7 slow 54 time 156ms
thread 3 fast 7 slow 58 time 156ms
thread 2 fast 9 slow 13 time 125ms
thread 1 fast 9 slow 15 time 141ms
thread 0 fast 9 slow 17 time 141ms
thread 3 fast 9 slow 19 time 141ms
thread 2 fast 9 slow 21 time 141ms
thread 0 fast 9 slow 25 time 125ms
thread 1 fast 9 slow 23 time 125ms
thread 3 fast 9 slow 27 time 125ms
thread 2 fast 9 slow 29 time 125ms
thread 0 fast 9 slow 31 time 140ms
thread 1 fast 9 slow 33 time 140ms
thread 3 fast 9 slow 35 time 141ms
thread 2 fast 9 slow 37 time 140ms
thread 1 fast 9 slow 41 time 141ms
thread 0 fast 9 slow 39 time 141ms
thread 3 fast 9 slow 43 time 156ms
thread 2 fast 9 slow 45 time 141ms
thread 1 fast 9 slow 47 time 125ms
thread 0 fast 9 slow 49 time 125ms
thread 3 fast 9 slow 51 time 125ms
thread 2 fast 9 slow 53 time 140ms
thread 1 fast 9 slow 55 time 125ms
thread 0 fast 9 slow 57 time 141ms
thread 2 fast 11 slow 16 time 125ms
thread 3 fast 9 slow 59 time 140ms
thread 0 fast 11 slow 20 time 140ms
thread 1 fast 11 slow 18 time 156ms
thread 2 fast 11 slow 22 time 141ms
thread 3 fast 11 slow 24 time 141ms
thread 0 fast 11 slow 26 time 125ms
thread 1 fast 11 slow 28 time 125ms
thread 2 fast 11 slow 30 time 109ms
thread 3 fast 11 slow 32 time 125ms
thread 0 fast 11 slow 34 time 141ms
thread 1 fast 11 slow 36 time 140ms
thread 3 fast 11 slow 40 time 125ms
thread 2 fast 11 slow 38 time 157ms
thread 0 fast 11 slow 42 time 125ms
thread 1 fast 11 slow 44 time 125ms
thread 3 fast 11 slow 46 time 141ms
thread 2 fast 11 slow 48 time 140ms
thread 0 fast 11 slow 50 time 125ms
thread 1 fast 11 slow 52 time 157ms
thread 1 better profit 1.2008 fast 11 slow 52 open 0.000 close 0.018
thread 3 fast 11 slow 54 time 140ms
thread 2 fast 11 slow 56 time 141ms
thread 0 fast 11 slow 58 time 125ms
thread 1 fast 13 slow 19 time 140ms
thread 2 fast 13 slow 23 time 125ms
thread 3 fast 13 slow 21 time 157ms
thread 0 fast 13 slow 25 time 140ms
thread 1 fast 13 slow 27 time 157ms
thread 2 fast 13 slow 29 time 172ms
thread 3 fast 13 slow 31 time 156ms
thread 0 fast 13 slow 33 time 125ms
thread 1 fast 13 slow 35 time 156ms
thread 3 fast 13 slow 39 time 156ms
thread 2 fast 13 slow 37 time 172ms
thread 0 fast 13 slow 41 time 172ms
thread 1 fast 13 slow 43 time 172ms
thread 2 fast 13 slow 47 time 140ms
thread 3 fast 13 slow 45 time 156ms
thread 0 fast 13 slow 49 time 157ms
thread 2 fast 13 slow 53 time 141ms
thread 3 fast 13 slow 55 time 141ms
thread 1 fast 13 slow 51 time 187ms
thread 0 fast 13 slow 57 time 203ms
thread 2 fast 13 slow 59 time 156ms
thread 3 fast 15 slow 22 time 156ms
thread 1 fast 15 slow 24 time 172ms
thread 0 fast 15 slow 26 time 140ms
thread 2 fast 15 slow 28 time 156ms
thread 3 fast 15 slow 30 time 172ms
thread 1 fast 15 slow 32 time 156ms
thread 0 fast 15 slow 34 time 157ms
thread 2 fast 15 slow 36 time 172ms
thread 3 fast 15 slow 38 time 156ms
thread 1 fast 15 slow 40 time 172ms
thread 0 fast 15 slow 42 time 171ms
thread 0 better profit 1.2319 fast 15 slow 42 open 0.004 close 0.010
thread 2 fast 15 slow 44 time 157ms
thread 3 fast 15 slow 46 time 172ms
thread 1 fast 15 slow 48 time 172ms
thread 0 fast 15 slow 50 time 172ms
thread 2 fast 15 slow 52 time 156ms
thread 3 fast 15 slow 54 time 156ms
thread 1 fast 15 slow 56 time 156ms
thread 0 fast 15 slow 58 time 188ms
thread 3 fast 17 slow 27 time 157ms
thread 2 fast 17 slow 25 time 187ms
thread 1 fast 17 slow 29 time 188ms
thread 0 fast 17 slow 31 time 187ms
thread 3 fast 17 slow 33 time 172ms
thread 2 fast 17 slow 35 time 172ms
thread 1 fast 17 slow 37 time 172ms
thread 0 fast 17 slow 39 time 157ms
thread 0 better profit 1.2383 fast 17 slow 39 open 0.000 close 0.008
thread 3 fast 17 slow 41 time 171ms
thread 2 fast 17 slow 43 time 156ms
thread 1 fast 17 slow 45 time 156ms
thread 0 fast 17 slow 47 time 171ms
thread 3 fast 17 slow 49 time 141ms
thread 2 fast 17 slow 51 time 172ms
thread 1 fast 17 slow 53 time 156ms
thread 3 fast 17 slow 57 time 125ms
thread 0 fast 17 slow 55 time 157ms
thread 2 fast 17 slow 59 time 125ms
thread 1 fast 19 slow 28 time 110ms
thread 3 fast 19 slow 30 time 156ms
thread 0 fast 19 slow 32 time 156ms
thread 2 fast 19 slow 34 time 157ms
thread 1 fast 19 slow 36 time 156ms
thread 0 fast 19 slow 40 time 109ms
thread 3 fast 19 slow 38 time 141ms
thread 2 fast 19 slow 42 time 140ms
thread 1 fast 19 slow 44 time 140ms
thread 3 fast 19 slow 48 time 125ms
thread 0 fast 19 slow 46 time 141ms
thread 2 fast 19 slow 50 time 125ms
thread 1 fast 19 slow 52 time 125ms
thread 3 fast 19 slow 54 time 125ms
thread 0 fast 19 slow 56 time 125ms
thread 2 fast 19 slow 58 time 125ms
thread 1 fast 21 slow 31 time 125ms
thread 3 fast 21 slow 33 time 156ms
thread 2 fast 21 slow 37 time 141ms
thread 0 fast 21 slow 35 time 172ms
thread 1 fast 21 slow 39 time 141ms
thread 3 fast 21 slow 41 time 141ms
thread 2 fast 21 slow 43 time 125ms
thread 1 fast 21 slow 47 time 125ms
thread 0 fast 21 slow 45 time 156ms
thread 3 fast 21 slow 49 time 109ms
thread 1 fast 21 slow 53 time 125ms
thread 2 fast 21 slow 51 time 156ms
thread 0 fast 21 slow 55 time 141ms
thread 3 fast 21 slow 57 time 156ms
thread 1 fast 21 slow 59 time 141ms
thread 0 fast 23 slow 36 time 140ms
thread 2 fast 23 slow 34 time 188ms
thread 1 fast 23 slow 40 time 125ms
thread 3 fast 23 slow 38 time 172ms
thread 0 fast 23 slow 42 time 141ms
thread 2 fast 23 slow 44 time 156ms
thread 1 fast 23 slow 46 time 125ms
thread 3 fast 23 slow 48 time 125ms
thread 0 fast 23 slow 50 time 125ms
thread 2 fast 23 slow 52 time 109ms
thread 1 fast 23 slow 54 time 125ms
thread 3 fast 23 slow 56 time 125ms
thread 0 fast 23 slow 58 time 141ms
thread 2 fast 25 slow 37 time 125ms
thread 1 fast 25 slow 39 time 140ms
thread 3 fast 25 slow 41 time 125ms
thread 0 fast 25 slow 43 time 156ms
thread 2 fast 25 slow 45 time 156ms
thread 1 fast 25 slow 47 time 141ms
thread 3 fast 25 slow 49 time 141ms
thread 2 fast 25 slow 53 time 110ms
thread 0 fast 25 slow 51 time 140ms
thread 1 fast 25 slow 55 time 125ms
thread 3 fast 25 slow 57 time 156ms
thread 2 fast 25 slow 59 time 125ms
thread 0 fast 27 slow 40 time 125ms
thread 1 fast 27 slow 42 time 141ms
thread 3 fast 27 slow 44 time 125ms
thread 3 better profit 1.2385 fast 27 slow 44 open 0.000 close 0.004
thread 2 fast 27 slow 46 time 140ms
thread 0 fast 27 slow 48 time 141ms
