log start @ 2021-08-14 01:27:27
cpu core 8
RAND_MAX 32767
market.ethusdt.kline.5min kline_start_time 1509465600 full_kline_len 379296 training_start 344736 training_end 352800
thread 0 training 2021-02-10 00:00:00 fast 1 slow 3
thread 0 open 0.000 close 0.000 profit 0.054
thread 0 training rand 2021-02-10 00:00:00 profit 1.008
thread 0 training rand 2021-02-10 00:00:00 profit 0.928
thread 0 training rand 2021-02-10 00:00:00 profit 0.880
thread 0 training rand 2021-02-10 00:00:00 profit 0.826
thread 0 training rand 2021-02-10 00:00:00 profit 0.709
thread 0 training rand 2021-02-10 00:00:00 profit 0.828
thread 0 training rand 2021-02-10 00:00:00 profit 0.729
thread 0 training rand 2021-02-10 00:00:00 profit 0.825
thread 0 training rand 2021-02-10 00:00:00 profit 0.747
thread 0 training rand 2021-02-10 00:00:00 profit 0.748
thread 0 better profit 0.000
thread 0 open 0.000 close 0.002 profit 0.308
thread 0 training rand 2021-02-10 00:00:00 profit 1.104
thread 0 training rand 2021-02-10 00:00:00 profit 1.018
thread 0 training rand 2021-02-10 00:00:00 profit 1.018
thread 0 training rand 2021-02-10 00:00:00 profit 0.960
thread 0 training rand 2021-02-10 00:00:00 profit 1.020
thread 0 training rand 2021-02-10 00:00:00 profit 0.938
thread 0 training rand 2021-02-10 00:00:00 profit 0.978
thread 0 training rand 2021-02-10 00:00:00 profit 0.972
thread 0 training rand 2021-02-10 00:00:00 profit 1.009
thread 0 training rand 2021-02-10 00:00:00 profit 0.942
thread -2147483648 better profit 0.000
thread 0 open 0.000 close 0.004 profit 0.722
thread 0 training rand 2021-02-10 00:00:00 profit 1.047
thread 0 training rand 2021-02-10 00:00:00 profit 1.007
thread 0 training rand 2021-02-10 00:00:00 profit 0.987
thread 0 training rand 2021-02-10 00:00:00 profit 0.974
thread 0 training rand 2021-02-10 00:00:00 profit 0.964
thread 0 training rand 2021-02-10 00:00:00 profit 0.938
thread 0 training rand 2021-02-10 00:00:00 profit 1.007
thread 0 training rand 2021-02-10 00:00:00 profit 0.922
thread 0 training rand 2021-02-10 00:00:00 profit 0.901
thread 0 training rand 2021-02-10 00:00:00 profit 0.997
thread -1073741824 better profit 0.000
thread 0 open 0.000 close 0.006 profit 1.542
thread 0 training rand 2021-02-10 00:00:00 profit 1.178
thread 0 training rand 2021-02-10 00:00:00 profit 1.035
thread 0 training rand 2021-02-10 00:00:00 profit 1.002
thread 0 training rand 2021-02-10 00:00:00 profit 0.985
thread 0 training rand 2021-02-10 00:00:00 profit 0.986
thread 0 training rand 2021-02-10 00:00:00 profit 0.989
thread 0 training rand 2021-02-10 00:00:00 profit 0.930
thread 0 training rand 2021-02-10 00:00:00 profit 1.130
thread 0 training rand 2021-02-10 00:00:00 profit 0.866
thread 0 training rand 2021-02-10 00:00:00 profit 0.986
thread -1610612736 better profit 0.000
thread 0 open 0.000 close 0.008 profit 0.959
thread 0 training rand 2021-02-10 00:00:00 profit 0.966
thread 0 training rand 2021-02-10 00:00:00 profit 0.986
thread 0 training rand 2021-02-10 00:00:00 profit 0.967
thread 0 training rand 2021-02-10 00:00:00 profit 0.970
thread 0 training rand 2021-02-10 00:00:00 profit 1.044
thread 0 training rand 2021-02-10 00:00:00 profit 0.896
thread 0 training rand 2021-02-10 00:00:00 profit 0.995
thread 0 training rand 2021-02-10 00:00:00 profit 1.100
thread 0 training rand 2021-02-10 00:00:00 profit 0.923
thread 0 training rand 2021-02-10 00:00:00 profit 0.926
thread 0 open 0.000 close 0.010 profit 0.958
thread 0 training rand 2021-02-10 00:00:00 profit 0.845
thread 0 training rand 2021-02-10 00:00:00 profit 1.002
thread 0 training rand 2021-02-10 00:00:00 profit 1.161
thread 0 training rand 2021-02-10 00:00:00 profit 0.993
thread 0 training rand 2021-02-10 00:00:00 profit 1.028
thread 0 training rand 2021-02-10 00:00:00 profit 1.080
thread 0 training rand 2021-02-10 00:00:00 profit 1.068
thread 0 training rand 2021-02-10 00:00:00 profit 0.995
thread 0 training rand 2021-02-10 00:00:00 profit 1.170
thread 0 training rand 2021-02-10 00:00:00 profit 1.032
thread 0 open 0.000 close 0.012 profit 0.848
thread 0 training rand 2021-02-10 00:00:00 profit 1.102
thread 0 training rand 2021-02-10 00:00:00 profit 0.950
thread 0 training rand 2021-02-10 00:00:00 profit 0.973
thread 0 training rand 2021-02-10 00:00:00 profit 0.901
thread 0 training rand 2021-02-10 00:00:00 profit 0.977
thread 0 training rand 2021-02-10 00:00:00 profit 0.961
thread 0 training rand 2021-02-10 00:00:00 profit 1.059
thread 0 training rand 2021-02-10 00:00:00 profit 0.869
thread 0 training rand 2021-02-10 00:00:00 profit 0.655
thread 0 training rand 2021-02-10 00:00:00 profit 1.061
thread 0 open 0.000 close 0.014 profit 0.785
thread 0 training rand 2021-02-10 00:00:00 profit 1.058
thread 0 training rand 2021-02-10 00:00:00 profit 0.990
thread 0 training rand 2021-02-10 00:00:00 profit 1.028
thread 0 training rand 2021-02-10 00:00:00 profit 1.213
thread 0 training rand 2021-02-10 00:00:00 profit 0.975
thread 0 training rand 2021-02-10 00:00:00 profit 0.981
thread 0 training rand 2021-02-10 00:00:00 profit 1.011
thread 0 training rand 2021-02-10 00:00:00 profit 0.979
thread 0 training rand 2021-02-10 00:00:00 profit 0.929
thread 0 training rand 2021-02-10 00:00:00 profit 1.040
thread 0 open 0.000 close 0.016 profit 0.949
thread 0 training rand 2021-02-10 00:00:00 profit 1.068
thread 0 training rand 2021-02-10 00:00:00 profit 1.004
thread 0 training rand 2021-02-10 00:00:00 profit 0.984
thread 0 training rand 2021-02-10 00:00:00 profit 0.992
thread 0 training rand 2021-02-10 00:00:00 profit 0.993
thread 0 training rand 2021-02-10 00:00:00 profit 1.010
thread 0 training rand 2021-02-10 00:00:00 profit 0.972
thread 0 training rand 2021-02-10 00:00:00 profit 1.058
thread 0 training rand 2021-02-10 00:00:00 profit 1.025
thread 0 training rand 2021-02-10 00:00:00 profit 1.003
thread 0 open 0.000 close 0.018 profit 1.150
thread 0 training rand 2021-02-10 00:00:00 profit 0.998
thread 0 training rand 2021-02-10 00:00:00 profit 0.977
thread 0 training rand 2021-02-10 00:00:00 profit 0.984
thread 0 training rand 2021-02-10 00:00:00 profit 0.935
thread 0 training rand 2021-02-10 00:00:00 profit 0.899
thread 0 training rand 2021-02-10 00:00:00 profit 1.138
thread 0 training rand 2021-02-10 00:00:00 profit 1.135
thread 0 training rand 2021-02-10 00:00:00 profit 1.087
thread 0 training rand 2021-02-10 00:00:00 profit 1.011
thread 0 training rand 2021-02-10 00:00:00 profit 0.947
thread 0 open 0.000 close 0.020 profit 0.951
thread 0 training rand 2021-02-10 00:00:00 profit 1.180
thread 0 training rand 2021-02-10 00:00:00 profit 1.111
thread 0 training rand 2021-02-10 00:00:00 profit 1.002
thread 0 training rand 2021-02-10 00:00:00 profit 0.942
thread 0 training rand 2021-02-10 00:00:00 profit 0.908
thread 0 training rand 2021-02-10 00:00:00 profit 0.938
thread 0 training rand 2021-02-10 00:00:00 profit 1.017
thread 0 training rand 2021-02-10 00:00:00 profit 1.000
thread 0 training rand 2021-02-10 00:00:00 profit 0.893
thread 0 training rand 2021-02-10 00:00:00 profit 0.800
thread 0 open 0.000 close 0.022 profit 0.951
thread 0 training rand 2021-02-10 00:00:00 profit 0.962
thread 0 training rand 2021-02-10 00:00:00 profit 1.082
thread 0 training rand 2021-02-10 00:00:00 profit 0.999
thread 0 training rand 2021-02-10 00:00:00 profit 0.992
thread 0 training rand 2021-02-10 00:00:00 profit 1.078
thread 0 training rand 2021-02-10 00:00:00 profit 0.990
thread 0 training rand 2021-02-10 00:00:00 profit 1.044
thread 0 training rand 2021-02-10 00:00:00 profit 1.063
thread 0 training rand 2021-02-10 00:00:00 profit 1.016
thread 0 training rand 2021-02-10 00:00:00 profit 1.034
thread 0 open 0.000 close 0.024 profit 0.768
thread 0 training rand 2021-02-10 00:00:00 profit 0.925
thread 0 training rand 2021-02-10 00:00:00 profit 1.029
thread 0 training rand 2021-02-10 00:00:00 profit 1.043
thread 0 training rand 2021-02-10 00:00:00 profit 1.009
thread 0 training rand 2021-02-10 00:00:00 profit 0.991
thread 0 training rand 2021-02-10 00:00:00 profit 0.996
thread 0 training rand 2021-02-10 00:00:00 profit 1.029
thread 0 training rand 2021-02-10 00:00:00 profit 1.062
thread 0 training rand 2021-02-10 00:00:00 profit 1.026
thread 0 training rand 2021-02-10 00:00:00 profit 0.978
thread 0 open 0.000 close 0.026 profit 0.768
thread 0 training rand 2021-02-10 00:00:00 profit 1.055
thread 0 training rand 2021-02-10 00:00:00 profit 0.858
thread 0 training rand 2021-02-10 00:00:00 profit 1.027
thread 0 training rand 2021-02-10 00:00:00 profit 0.968
thread 0 training rand 2021-02-10 00:00:00 profit 0.985
thread 0 training rand 2021-02-10 00:00:00 profit 1.141
thread 0 training rand 2021-02-10 00:00:00 profit 0.930
thread 0 training rand 2021-02-10 00:00:00 profit 0.980
thread 0 training rand 2021-02-10 00:00:00 profit 0.947
thread 0 training rand 2021-02-10 00:00:00 profit 0.987
thread 0 open 0.000 close 0.028 profit 0.768
thread 0 training rand 2021-02-10 00:00:00 profit 1.033
thread 0 training rand 2021-02-10 00:00:00 profit 0.975
thread 0 training rand 2021-02-10 00:00:00 profit 1.153
thread 0 training rand 2021-02-10 00:00:00 profit 0.900
thread 0 training rand 2021-02-10 00:00:00 profit 0.874
thread 0 training rand 2021-02-10 00:00:00 profit 0.937
thread 0 training rand 2021-02-10 00:00:00 profit 1.041
thread 0 training rand 2021-02-10 00:00:00 profit 0.838
thread 0 training rand 2021-02-10 00:00:00 profit 0.960
thread 0 training rand 2021-02-10 00:00:00 profit 0.968
thread 0 open 0.000 close 0.030 profit 0.768
thread 0 training rand 2021-02-10 00:00:00 profit 0.874
thread 0 training rand 2021-02-10 00:00:00 profit 0.874
thread 0 training rand 2021-02-10 00:00:00 profit 1.009
thread 0 training rand 2021-02-10 00:00:00 profit 0.995
thread 0 training rand 2021-02-10 00:00:00 profit 0.916
thread 0 training rand 2021-02-10 00:00:00 profit 1.017
thread 0 training rand 2021-02-10 00:00:00 profit 0.947
thread 0 training rand 2021-02-10 00:00:00 profit 0.955
thread 0 training rand 2021-02-10 00:00:00 profit 1.104
thread 0 training rand 2021-02-10 00:00:00 profit 0.918
thread 0 open 0.000 close 0.032 profit 0.768
thread 0 training rand 2021-02-10 00:00:00 profit 1.003
thread 0 training rand 2021-02-10 00:00:00 profit 0.928
thread 0 training rand 2021-02-10 00:00:00 profit 1.111
thread 0 training rand 2021-02-10 00:00:00 profit 1.030
thread 0 training rand 2021-02-10 00:00:00 profit 1.023
thread 0 training rand 2021-02-10 00:00:00 profit 1.063
thread 0 training rand 2021-02-10 00:00:00 profit 1.064
thread 0 training rand 2021-02-10 00:00:00 profit 0.960
thread 0 training rand 2021-02-10 00:00:00 profit 1.012
thread 0 training rand 2021-02-10 00:00:00 profit 0.839
thread 0 open 0.000 close 0.034 profit 0.768
thread 0 training rand 2021-02-10 00:00:00 profit 1.030
thread 0 training rand 2021-02-10 00:00:00 profit 0.903
thread 0 training rand 2021-02-10 00:00:00 profit 0.969
thread 0 training rand 2021-02-10 00:00:00 profit 1.014
thread 0 training rand 2021-02-10 00:00:00 profit 0.959
thread 0 training rand 2021-02-10 00:00:00 profit 1.180
thread 0 training rand 2021-02-10 00:00:00 profit 1.013
thread 0 training rand 2021-02-10 00:00:00 profit 0.915
thread 0 training rand 2021-02-10 00:00:00 profit 1.054
thread 0 training rand 2021-02-10 00:00:00 profit 0.854
thread 0 open 0.000 close 0.036 profit 0.768
thread 0 training rand 2021-02-10 00:00:00 profit 0.886
thread 0 training rand 2021-02-10 00:00:00 profit 0.947
thread 0 training rand 2021-02-10 00:00:00 profit 0.919
thread 0 training rand 2021-02-10 00:00:00 profit 0.911
thread 0 training rand 2021-02-10 00:00:00 profit 0.964
thread 0 training rand 2021-02-10 00:00:00 profit 0.925
thread 0 training rand 2021-02-10 00:00:00 profit 0.961
thread 0 training rand 2021-02-10 00:00:00 profit 0.991
thread 0 training rand 2021-02-10 00:00:00 profit 1.066
thread 0 training rand 2021-02-10 00:00:00 profit 0.991
thread 0 open 0.000 close 0.038 profit 0.768
thread 0 training rand 2021-02-10 00:00:00 profit 1.215
thread 0 training rand 2021-02-10 00:00:00 profit 0.905
thread 0 training rand 2021-02-10 00:00:00 profit 1.015
thread 0 training rand 2021-02-10 00:00:00 profit 1.001
thread 0 training rand 2021-02-10 00:00:00 profit 0.917
thread 0 training rand 2021-02-10 00:00:00 profit 1.002
thread 0 training rand 2021-02-10 00:00:00 profit 0.952
thread 0 training rand 2021-02-10 00:00:00 profit 0.980
thread 0 training rand 2021-02-10 00:00:00 profit 1.053
thread 0 training rand 2021-02-10 00:00:00 profit 1.015
thread 0 open 0.000 close 0.040 profit 0.768
thread 0 training rand 2021-02-10 00:00:00 profit 1.100
thread 0 training rand 2021-02-10 00:00:00 profit 1.002
thread 0 training rand 2021-02-10 00:00:00 profit 1.102
thread 0 training rand 2021-02-10 00:00:00 profit 0.964
thread 0 training rand 2021-02-10 00:00:00 profit 0.878
thread 0 training rand 2021-02-10 00:00:00 profit 1.040
thread 0 training rand 2021-02-10 00:00:00 profit 1.037
thread 0 training rand 2021-02-10 00:00:00 profit 1.091
thread 0 training rand 2021-02-10 00:00:00 profit 0.880
thread 0 training rand 2021-02-10 00:00:00 profit 0.922
thread 0 open 0.000 close 0.042 profit 0.768
thread 0 training rand 2021-02-10 00:00:00 profit 0.949
thread 0 training rand 2021-02-10 00:00:00 profit 0.897
thread 0 training rand 2021-02-10 00:00:00 profit 0.981
thread 0 training rand 2021-02-10 00:00:00 profit 0.994
thread 0 training rand 2021-02-10 00:00:00 profit 1.071
thread 0 training rand 2021-02-10 00:00:00 profit 0.935
thread 0 training rand 2021-02-10 00:00:00 profit 1.003
thread 0 training rand 2021-02-10 00:00:00 profit 1.016
thread 0 training rand 2021-02-10 00:00:00 profit 1.000
thread 0 training rand 2021-02-10 00:00:00 profit 1.003
thread 0 open 0.000 close 0.044 profit 0.768
thread 0 training rand 2021-02-10 00:00:00 profit 1.086
thread 0 training rand 2021-02-10 00:00:00 profit 0.919
thread 0 training rand 2021-02-10 00:00:00 profit 1.184
thread 0 training rand 2021-02-10 00:00:00 profit 1.038
thread 0 training rand 2021-02-10 00:00:00 profit 0.884
thread 0 training rand 2021-02-10 00:00:00 profit 0.947
thread 0 training rand 2021-02-10 00:00:00 profit 1.022
thread 0 training rand 2021-02-10 00:00:00 profit 1.022
thread 0 training rand 2021-02-10 00:00:00 profit 0.982
thread 0 training rand 2021-02-10 00:00:00 profit 1.168
thread 0 open 0.000 close 0.046 profit 0.768
thread 0 training rand 2021-02-10 00:00:00 profit 0.798
thread 0 training rand 2021-02-10 00:00:00 profit 1.039
thread 0 training rand 2021-02-10 00:00:00 profit 0.876
thread 0 training rand 2021-02-10 00:00:00 profit 0.953
thread 0 training rand 2021-02-10 00:00:00 profit 0.962
thread 0 training rand 2021-02-10 00:00:00 profit 0.974
thread 0 training rand 2021-02-10 00:00:00 profit 1.019
thread 0 training rand 2021-02-10 00:00:00 profit 0.871
thread 0 training rand 2021-02-10 00:00:00 profit 1.213
thread 0 training rand 2021-02-10 00:00:00 profit 1.058
thread 0 open 0.000 close 0.048 profit 0.768
thread 0 training rand 2021-02-10 00:00:00 profit 0.981
thread 0 training rand 2021-02-10 00:00:00 profit 0.976
thread 0 training rand 2021-02-10 00:00:00 profit 1.112
thread 0 training rand 2021-02-10 00:00:00 profit 0.974
thread 0 training rand 2021-02-10 00:00:00 profit 1.002
thread 0 training rand 2021-02-10 00:00:00 profit 0.928
thread 0 training rand 2021-02-10 00:00:00 profit 0.970
thread 0 training rand 2021-02-10 00:00:00 profit 0.962
thread 0 training rand 2021-02-10 00:00:00 profit 0.806
thread 0 training rand 2021-02-10 00:00:00 profit 0.973
thread 0 open 0.000 close 0.050 profit 0.768
thread 0 training rand 2021-02-10 00:00:00 profit 0.984
thread 0 training rand 2021-02-10 00:00:00 profit 0.998
thread 0 training rand 2021-02-10 00:00:00 profit 1.023
thread 0 training rand 2021-02-10 00:00:00 profit 0.947
thread 0 training rand 2021-02-10 00:00:00 profit 0.921
thread 0 training rand 2021-02-10 00:00:00 profit 0.977
thread 0 training rand 2021-02-10 00:00:00 profit 0.994
thread 0 training rand 2021-02-10 00:00:00 profit 1.174
thread 0 training rand 2021-02-10 00:00:00 profit 1.124
thread 0 training rand 2021-02-10 00:00:00 profit 0.957
thread 0 open 0.000 close 0.052 profit 0.768
thread 0 training rand 2021-02-10 00:00:00 profit 0.951
thread 0 training rand 2021-02-10 00:00:00 profit 1.071
thread 0 training rand 2021-02-10 00:00:00 profit 0.989
thread 0 training rand 2021-02-10 00:00:00 profit 0.997
thread 0 training rand 2021-02-10 00:00:00 profit 1.050
thread 0 training rand 2021-02-10 00:00:00 profit 0.976
thread 0 training rand 2021-02-10 00:00:00 profit 0.926
thread 0 training rand 2021-02-10 00:00:00 profit 1.023
thread 0 training rand 2021-02-10 00:00:00 profit 0.998
thread 0 training rand 2021-02-10 00:00:00 profit 0.979
thread 0 open 0.000 close 0.054 profit 0.768
thread 0 training rand 2021-02-10 00:00:00 profit 0.977
thread 0 training rand 2021-02-10 00:00:00 profit 0.958
thread 0 training rand 2021-02-10 00:00:00 profit 1.143
thread 0 training rand 2021-02-10 00:00:00 profit 1.063
thread 0 training rand 2021-02-10 00:00:00 profit 1.133
thread 0 training rand 2021-02-10 00:00:00 profit 1.021
thread 0 training rand 2021-02-10 00:00:00 profit 1.032
thread 0 training rand 2021-02-10 00:00:00 profit 0.782
thread 0 training rand 2021-02-10 00:00:00 profit 1.004
thread 0 training rand 2021-02-10 00:00:00 profit 1.099
thread 0 open 0.000 close 0.056 profit 0.768
thread 0 training rand 2021-02-10 00:00:00 profit 1.033
thread 0 training rand 2021-02-10 00:00:00 profit 0.925
thread 0 training rand 2021-02-10 00:00:00 profit 1.136
thread 0 training rand 2021-02-10 00:00:00 profit 0.982
thread 0 training rand 2021-02-10 00:00:00 profit 1.045
thread 0 training rand 2021-02-10 00:00:00 profit 0.974
thread 0 training rand 2021-02-10 00:00:00 profit 1.027
thread 0 training rand 2021-02-10 00:00:00 profit 0.898
thread 0 training rand 2021-02-10 00:00:00 profit 0.967
thread 0 training rand 2021-02-10 00:00:00 profit 1.045
thread 0 open 0.000 close 0.058 profit 0.768
thread 0 training rand 2021-02-10 00:00:00 profit 0.958
thread 0 training rand 2021-02-10 00:00:00 profit 0.923
thread 0 training rand 2021-02-10 00:00:00 profit 0.997
thread 0 training rand 2021-02-10 00:00:00 profit 1.170
thread 0 training rand 2021-02-10 00:00:00 profit 0.990
thread 0 training rand 2021-02-10 00:00:00 profit 0.995
thread 0 training rand 2021-02-10 00:00:00 profit 1.041
thread 0 training rand 2021-02-10 00:00:00 profit 1.075
thread 0 training rand 2021-02-10 00:00:00 profit 0.992
thread 0 training rand 2021-02-10 00:00:00 profit 1.024
thread 0 open 0.000 close 0.060 profit 0.768
thread 0 training rand 2021-02-10 00:00:00 profit 1.005
thread 0 training rand 2021-02-10 00:00:00 profit 1.099
thread 0 training rand 2021-02-10 00:00:00 profit 1.023
thread 0 training rand 2021-02-10 00:00:00 profit 1.071
thread 0 training rand 2021-02-10 00:00:00 profit 0.862
thread 0 training rand 2021-02-10 00:00:00 profit 0.869
thread 0 training rand 2021-02-10 00:00:00 profit 0.999
thread 0 training rand 2021-02-10 00:00:00 profit 1.016
thread 0 training rand 2021-02-10 00:00:00 profit 0.921
thread 0 training rand 2021-02-10 00:00:00 profit 0.983
thread 0 open 0.000 close 0.062 profit 0.768
thread 0 training rand 2021-02-10 00:00:00 profit 0.981
thread 0 training rand 2021-02-10 00:00:00 profit 1.122
thread 0 training rand 2021-02-10 00:00:00 profit 1.015
thread 0 training rand 2021-02-10 00:00:00 profit 0.987
thread 0 training rand 2021-02-10 00:00:00 profit 1.085
thread 0 training rand 2021-02-10 00:00:00 profit 0.974
thread 0 training rand 2021-02-10 00:00:00 profit 1.109
thread 0 training rand 2021-02-10 00:00:00 profit 1.075
thread 0 training rand 2021-02-10 00:00:00 profit 0.979
thread 0 training rand 2021-02-10 00:00:00 profit 0.995
thread 0 open 0.000 close 0.064 profit 0.768
thread 0 training rand 2021-02-10 00:00:00 profit 1.024
thread 0 training rand 2021-02-10 00:00:00 profit 1.105
thread 0 training rand 2021-02-10 00:00:00 profit 0.967
thread 0 training rand 2021-02-10 00:00:00 profit 0.995
thread 0 training rand 2021-02-10 00:00:00 profit 0.993
thread 0 training rand 2021-02-10 00:00:00 profit 1.068
thread 0 training rand 2021-02-10 00:00:00 profit 1.003
thread 0 training rand 2021-02-10 00:00:00 profit 0.845
thread 0 training rand 2021-02-10 00:00:00 profit 1.022
thread 0 training rand 2021-02-10 00:00:00 profit 1.031
thread 0 open 0.000 close 0.066 profit 0.768
thread 0 training rand 2021-02-10 00:00:00 profit 1.119
thread 0 training rand 2021-02-10 00:00:00 profit 1.058
thread 0 training rand 2021-02-10 00:00:00 profit 1.136
thread 0 training rand 2021-02-10 00:00:00 profit 0.844
thread 0 training rand 2021-02-10 00:00:00 profit 1.081
thread 0 training rand 2021-02-10 00:00:00 profit 0.962
thread 0 training rand 2021-02-10 00:00:00 profit 0.894
thread 0 training rand 2021-02-10 00:00:00 profit 1.059
thread 0 training rand 2021-02-10 00:00:00 profit 1.023
thread 0 training rand 2021-02-10 00:00:00 profit 0.946
thread 0 open 0.000 close 0.068 profit 0.768
thread 0 training rand 2021-02-10 00:00:00 profit 1.006
thread 0 training rand 2021-02-10 00:00:00 profit 0.902
thread 0 training rand 2021-02-10 00:00:00 profit 1.136
thread 0 training rand 2021-02-10 00:00:00 profit 1.050
thread 0 training rand 2021-02-10 00:00:00 profit 0.993
thread 0 training rand 2021-02-10 00:00:00 profit 0.994
thread 0 training rand 2021-02-10 00:00:00 profit 0.943
thread 0 training rand 2021-02-10 00:00:00 profit 1.010
thread 0 training rand 2021-02-10 00:00:00 profit 1.025
thread 0 training rand 2021-02-10 00:00:00 profit 1.020
thread 0 open 0.000 close 0.070 profit 0.768
thread 0 training rand 2021-02-10 00:00:00 profit 0.950
thread 0 training rand 2021-02-10 00:00:00 profit 1.028
thread 0 training rand 2021-02-10 00:00:00 profit 0.970
thread 0 training rand 2021-02-10 00:00:00 profit 1.002
thread 0 training rand 2021-02-10 00:00:00 profit 1.016
thread 0 training rand 2021-02-10 00:00:00 profit 0.902
thread 0 training rand 2021-02-10 00:00:00 profit 0.954
thread 0 training rand 2021-02-10 00:00:00 profit 0.876
thread 0 training rand 2021-02-10 00:00:00 profit 1.059
thread 0 training rand 2021-02-10 00:00:00 profit 1.084
thread 0 open 0.000 close 0.072 profit 0.768
