log start @ 2021-08-16 00:53:48
cpu core 8
RAND_MAX 32767
market.ethusdt.kline.5min kline_start_time 1509465600 full_kline_len 379296 training_start 271584 training_end 376704
training_ma_cross @ 2020-06-01 00:00:00 365.0 day
thread 0 training 2020-06-01 00:00:00 fast 1 slow 3
thread 0 training rand 41 2017-12-01 03:25:00 profit 0.699
thread 0 training rand 44588 2018-05-04 19:40:00 profit 0.781
thread 0 training rand 58576 2018-06-22 09:20:00 profit 0.705
thread 0 training rand 78742 2018-08-31 09:50:00 profit 0.785
thread 0 training rand 123653 2019-02-03 08:25:00 profit 0.697
thread 0 training rand 146329 2019-04-23 02:05:00 profit 0.700
thread 0 training rand 168204 2019-07-08 01:00:00 profit 0.698
thread 0 training rand 186084 2019-09-08 03:00:00 profit 0.698
thread 0 training rand 209809 2019-11-29 12:05:00 profit 0.699
thread 0 training rand 259553 2020-05-20 05:25:00 profit 0.700
thread 0 training rand 5705 2017-12-20 19:25:00 profit 0.990
thread 0 training rand 28145 2018-03-08 17:25:00 profit 0.943
thread 0 training rand 75523 2018-08-20 05:35:00 profit 0.902
thread 0 training rand 95190 2018-10-27 12:30:00 profit 1.026
thread 0 training rand 114445 2019-01-02 09:05:00 profit 0.698
thread 0 training rand 131096 2019-03-01 04:40:00 profit 1.113
thread 0 training rand 159721 2019-06-08 14:05:00 profit 0.842
thread 0 training rand 194789 2019-10-08 08:25:00 profit 0.925
thread 0 training rand 213795 2019-12-13 08:15:00 profit 1.162
thread 0 training rand 240525 2020-03-15 03:45:00 profit 0.905
thread 0 training rand 6270 2017-12-22 18:30:00 profit 0.842
thread 0 training rand 40725 2018-04-21 09:45:00 profit 1.145
thread 0 training rand 56144 2018-06-13 22:40:00 profit 1.050
thread 0 training rand 78516 2018-08-30 15:00:00 profit 0.857
thread 0 training rand 104776 2018-11-29 19:20:00 profit 0.872
thread 0 training rand 142987 2019-04-11 11:35:00 profit 0.918
thread 0 training rand 174147 2019-07-28 16:15:00 profit 0.886
thread 0 training rand 201563 2019-10-31 20:55:00 profit 1.025
thread 0 training rand 228686 2020-02-03 01:10:00 profit 1.002
thread 0 training rand 254984 2020-05-04 08:40:00 profit 1.112
thread 0 training rand 5447 2017-12-19 21:55:00 profit 0.987
thread 0 training rand 47847 2018-05-16 03:15:00 profit 1.038
thread 0 training rand 67013 2018-07-21 16:25:00 profit 1.025
thread 0 training rand 89901 2018-10-09 03:45:00 profit 1.078
thread 0 training rand 106353 2018-12-05 06:45:00 profit 0.938
thread 0 training rand 150517 2019-05-07 15:05:00 profit 0.997
thread 0 training rand 182393 2019-08-26 07:25:00 profit 1.080
thread 0 training rand 183025 2019-08-28 12:05:00 profit 0.986
